treatment,projection,file,amp,spike_frequency
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,20,0.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,30,0.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,40,0.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,50,2.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,60,8.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,70,12.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,80,14.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,90,18.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,100,22.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,110,22.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,120,26.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,130,28.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,140,30.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,150,32.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,10,0.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,20,0.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,30,0.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,40,4.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,50,12.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,60,20.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,70,24.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,80,34.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,90,34.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,100,38.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,110,38.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,120,44.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,130,46.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,140,48.0
cus,nacc,fgnacc-cus-bla003_6_29_21.adicht,150,48.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,10,0.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,20,0.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,30,0.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,40,0.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,50,0.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,60,0.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,70,0.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,80,0.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,90,2.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,100,4.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,110,6.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,120,8.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,130,8.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,140,12.0
cus,nacc,fgnacc-cus-bla004_6_30_21.adicht,150,12.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,10,0.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,20,0.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,30,0.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,40,0.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,50,6.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,60,8.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,70,10.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,80,12.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,90,14.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,100,16.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,110,18.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,120,20.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,130,22.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,140,24.0
cus,nacc,fgnacc-cus-bla005_6_30_21.adicht,150,26.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,10,0.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,20,0.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,30,0.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,40,0.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,50,6.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,60,10.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,70,14.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,80,18.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,90,20.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,100,24.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,110,26.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,120,30.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,130,32.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,140,34.0
cus,nacc,fgnacc-cus-bla006_6_30_21.adicht,150,38.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,10,0.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,20,0.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,30,0.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,40,0.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,50,0.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,60,0.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,70,0.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,80,2.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,90,6.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,100,10.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,110,12.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,120,14.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,130,16.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,140,18.0
cus,nacc,fgnacc-cus-bla007_7_1_21.adicht,150,20.0
cus,nonspecific,cusbla001_4_27_21.adicht,10,0.0
cus,nonspecific,cusbla001_4_27_21.adicht,20,12.0
cus,nonspecific,cusbla001_4_27_21.adicht,30,22.0
cus,nonspecific,cusbla001_4_27_21.adicht,40,32.0
cus,nonspecific,cusbla001_4_27_21.adicht,50,40.0
cus,nonspecific,cusbla001_4_27_21.adicht,60,48.0
cus,nonspecific,cusbla001_4_27_21.adicht,70,56.0
cus,nonspecific,cusbla001_4_27_21.adicht,80,60.0
cus,nonspecific,cusbla001_4_27_21.adicht,90,62.0
cus,nonspecific,cusbla001_4_27_21.adicht,100,66.0
cus,nonspecific,cusbla001_4_27_21.adicht,110,60.0
cus,nonspecific,cusbla001_4_27_21.adicht,120,40.0
cus,nonspecific,cusbla001_4_27_21.adicht,130,22.0
cus,nonspecific,cusbla001_4_27_21.adicht,140,16.0
cus,nonspecific,cusbla001_4_27_21.adicht,150,12.0
cus,nonspecific,cusbla002_4_27_21.adicht,10,0.0
cus,nonspecific,cusbla002_4_27_21.adicht,20,10.0
cus,nonspecific,cusbla002_4_27_21.adicht,30,18.0
cus,nonspecific,cusbla002_4_27_21.adicht,40,26.0
cus,nonspecific,cusbla002_4_27_21.adicht,50,32.0
cus,nonspecific,cusbla002_4_27_21.adicht,60,38.0
cus,nonspecific,cusbla002_4_27_21.adicht,70,40.0
cus,nonspecific,cusbla002_4_27_21.adicht,80,44.0
cus,nonspecific,cusbla002_4_27_21.adicht,90,46.0
cus,nonspecific,cusbla002_4_27_21.adicht,100,50.0
cus,nonspecific,cusbla002_4_27_21.adicht,110,32.0
cus,nonspecific,cusbla002_4_27_21.adicht,120,20.0
cus,nonspecific,cusbla002_4_27_21.adicht,130,18.0
cus,nonspecific,cusbla002_4_27_21.adicht,140,14.0
cus,nonspecific,cusbla002_4_27_21.adicht,150,14.0
cus,nonspecific,cusbla003_4_27_21.adicht,10,6.0
cus,nonspecific,cusbla003_4_27_21.adicht,20,26.0
cus,nonspecific,cusbla003_4_27_21.adicht,30,16.0
cus,nonspecific,cusbla003_4_27_21.adicht,40,14.0
cus,nonspecific,cusbla003_4_27_21.adicht,50,12.0
cus,nonspecific,cusbla003_4_27_21.adicht,60,10.0
cus,nonspecific,cusbla003_4_27_21.adicht,70,8.0
cus,nonspecific,cusbla003_4_27_21.adicht,80,8.0
cus,nonspecific,cusbla003_4_27_21.adicht,90,8.0
cus,nonspecific,cusbla003_4_27_21.adicht,100,8.0
cus,nonspecific,cusbla003_4_27_21.adicht,110,8.0
cus,nonspecific,cusbla003_4_27_21.adicht,120,6.0
cus,nonspecific,cusbla003_4_27_21.adicht,130,6.0
cus,nonspecific,cusbla003_4_27_21.adicht,140,6.0
cus,nonspecific,cusbla003_4_27_21.adicht,150,6.0
cus,nonspecific,cusbla004_4_27_21.adicht,10,14.0
cus,nonspecific,cusbla004_4_27_21.adicht,20,22.0
cus,nonspecific,cusbla004_4_27_21.adicht,30,34.0
cus,nonspecific,cusbla004_4_27_21.adicht,40,44.0
cus,nonspecific,cusbla004_4_27_21.adicht,50,52.0
cus,nonspecific,cusbla004_4_27_21.adicht,60,60.0
cus,nonspecific,cusbla004_4_27_21.adicht,70,66.0
cus,nonspecific,cusbla004_4_27_21.adicht,80,70.0
cus,nonspecific,cusbla004_4_27_21.adicht,90,74.0
cus,nonspecific,cusbla004_4_27_21.adicht,100,78.0
cus,nonspecific,cusbla004_4_27_21.adicht,110,80.0
cus,nonspecific,cusbla004_4_27_21.adicht,120,56.0
cus,nonspecific,cusbla004_4_27_21.adicht,130,22.0
cus,nonspecific,cusbla004_4_27_21.adicht,140,12.0
cus,nonspecific,cusbla004_4_27_21.adicht,150,10.0
cus,nonspecific,cusbla005_4_27_21.adicht,10,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,20,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,30,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,40,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,50,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,60,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,70,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,80,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,90,0.0
cus,nonspecific,cusbla005_4_27_21.adicht,100,6.0
cus,nonspecific,cusbla005_4_27_21.adicht,110,8.0
cus,nonspecific,cusbla005_4_27_21.adicht,120,12.0
cus,nonspecific,cusbla005_4_27_21.adicht,130,12.0
cus,nonspecific,cusbla005_4_27_21.adicht,140,14.0
cus,nonspecific,cusbla005_4_27_21.adicht,150,16.0
cus,nonspecific,cusbla006_4_27_21.adicht,10,0.0
cus,nonspecific,cusbla006_4_27_21.adicht,20,0.0
cus,nonspecific,cusbla006_4_27_21.adicht,30,0.0
cus,nonspecific,cusbla006_4_27_21.adicht,40,0.0
cus,nonspecific,cusbla006_4_27_21.adicht,50,0.0
cus,nonspecific,cusbla006_4_27_21.adicht,60,0.0
cus,nonspecific,cusbla006_4_27_21.adicht,70,0.0
cus,nonspecific,cusbla006_4_27_21.adicht,80,0.0
cus,nonspecific,cusbla006_4_27_21.adicht,90,4.0
cus,nonspecific,cusbla006_4_27_21.adicht,100,8.0
cus,nonspecific,cusbla006_4_27_21.adicht,110,10.0
cus,nonspecific,cusbla006_4_27_21.adicht,120,12.0
cus,nonspecific,cusbla006_4_27_21.adicht,130,14.0
cus,nonspecific,cusbla006_4_27_21.adicht,140,16.0
cus,nonspecific,cusbla006_4_27_21.adicht,150,16.0
cus,nonspecific,cusbla007_4_27_21.adicht,10,2.0
cus,nonspecific,cusbla007_4_27_21.adicht,20,12.0
cus,nonspecific,cusbla007_4_27_21.adicht,30,16.0
cus,nonspecific,cusbla007_4_27_21.adicht,40,32.0
cus,nonspecific,cusbla007_4_27_21.adicht,50,44.0
cus,nonspecific,cusbla007_4_27_21.adicht,60,52.0
cus,nonspecific,cusbla007_4_27_21.adicht,70,62.0
cus,nonspecific,cusbla007_4_27_21.adicht,80,70.0
cus,nonspecific,cusbla007_4_27_21.adicht,90,74.0
cus,nonspecific,cusbla007_4_27_21.adicht,100,78.0
cus,nonspecific,cusbla007_4_27_21.adicht,110,84.0
cus,nonspecific,cusbla007_4_27_21.adicht,120,82.0
cus,nonspecific,cusbla007_4_27_21.adicht,130,44.0
cus,nonspecific,cusbla007_4_27_21.adicht,140,18.0
cus,nonspecific,cusbla007_4_27_21.adicht,150,12.0
cus,nonspecific,cusbla008_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla008_4_30_21.adicht,20,0.0
cus,nonspecific,cusbla008_4_30_21.adicht,30,2.0
cus,nonspecific,cusbla008_4_30_21.adicht,40,6.0
cus,nonspecific,cusbla008_4_30_21.adicht,50,10.0
cus,nonspecific,cusbla008_4_30_21.adicht,60,16.0
cus,nonspecific,cusbla008_4_30_21.adicht,70,16.0
cus,nonspecific,cusbla008_4_30_21.adicht,80,20.0
cus,nonspecific,cusbla008_4_30_21.adicht,90,24.0
cus,nonspecific,cusbla008_4_30_21.adicht,100,24.0
cus,nonspecific,cusbla008_4_30_21.adicht,110,26.0
cus,nonspecific,cusbla008_4_30_21.adicht,120,28.0
cus,nonspecific,cusbla008_4_30_21.adicht,130,28.0
cus,nonspecific,cusbla008_4_30_21.adicht,140,30.0
cus,nonspecific,cusbla008_4_30_21.adicht,150,30.0
cus,nonspecific,cusbla009_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla009_4_30_21.adicht,20,2.0
cus,nonspecific,cusbla009_4_30_21.adicht,30,2.0
cus,nonspecific,cusbla009_4_30_21.adicht,40,2.0
cus,nonspecific,cusbla009_4_30_21.adicht,50,4.0
cus,nonspecific,cusbla009_4_30_21.adicht,60,6.0
cus,nonspecific,cusbla009_4_30_21.adicht,70,6.0
cus,nonspecific,cusbla009_4_30_21.adicht,80,10.0
cus,nonspecific,cusbla009_4_30_21.adicht,90,10.0
cus,nonspecific,cusbla009_4_30_21.adicht,100,12.0
cus,nonspecific,cusbla009_4_30_21.adicht,110,14.0
cus,nonspecific,cusbla009_4_30_21.adicht,120,22.0
cus,nonspecific,cusbla009_4_30_21.adicht,130,24.0
cus,nonspecific,cusbla009_4_30_21.adicht,140,28.0
cus,nonspecific,cusbla009_4_30_21.adicht,150,24.0
cus,nonspecific,cusbla010_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla010_4_30_21.adicht,20,0.0
cus,nonspecific,cusbla010_4_30_21.adicht,30,4.0
cus,nonspecific,cusbla010_4_30_21.adicht,40,10.0
cus,nonspecific,cusbla010_4_30_21.adicht,50,16.0
cus,nonspecific,cusbla010_4_30_21.adicht,60,20.0
cus,nonspecific,cusbla010_4_30_21.adicht,70,24.0
cus,nonspecific,cusbla010_4_30_21.adicht,80,28.0
cus,nonspecific,cusbla010_4_30_21.adicht,90,32.0
cus,nonspecific,cusbla010_4_30_21.adicht,100,36.0
cus,nonspecific,cusbla010_4_30_21.adicht,110,40.0
cus,nonspecific,cusbla010_4_30_21.adicht,120,42.0
cus,nonspecific,cusbla010_4_30_21.adicht,130,46.0
cus,nonspecific,cusbla010_4_30_21.adicht,140,48.0
cus,nonspecific,cusbla010_4_30_21.adicht,150,50.0
cus,nonspecific,cusbla011_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla011_4_30_21.adicht,20,6.0
cus,nonspecific,cusbla011_4_30_21.adicht,30,10.0
cus,nonspecific,cusbla011_4_30_21.adicht,40,14.0
cus,nonspecific,cusbla011_4_30_21.adicht,50,18.0
cus,nonspecific,cusbla011_4_30_21.adicht,60,20.0
cus,nonspecific,cusbla011_4_30_21.adicht,70,24.0
cus,nonspecific,cusbla011_4_30_21.adicht,80,28.0
cus,nonspecific,cusbla011_4_30_21.adicht,90,30.0
cus,nonspecific,cusbla011_4_30_21.adicht,100,32.0
cus,nonspecific,cusbla011_4_30_21.adicht,110,36.0
cus,nonspecific,cusbla011_4_30_21.adicht,120,40.0
cus,nonspecific,cusbla011_4_30_21.adicht,130,44.0
cus,nonspecific,cusbla011_4_30_21.adicht,140,44.0
cus,nonspecific,cusbla011_4_30_21.adicht,150,46.0
cus,nonspecific,cusbla012_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla012_4_30_21.adicht,20,0.0
cus,nonspecific,cusbla012_4_30_21.adicht,30,0.0
cus,nonspecific,cusbla012_4_30_21.adicht,40,0.0
cus,nonspecific,cusbla012_4_30_21.adicht,50,0.0
cus,nonspecific,cusbla012_4_30_21.adicht,60,0.0
cus,nonspecific,cusbla012_4_30_21.adicht,70,2.0
cus,nonspecific,cusbla012_4_30_21.adicht,80,2.0
cus,nonspecific,cusbla012_4_30_21.adicht,90,6.0
cus,nonspecific,cusbla012_4_30_21.adicht,100,8.0
cus,nonspecific,cusbla012_4_30_21.adicht,110,12.0
cus,nonspecific,cusbla012_4_30_21.adicht,120,14.0
cus,nonspecific,cusbla012_4_30_21.adicht,130,16.0
cus,nonspecific,cusbla012_4_30_21.adicht,140,18.0
cus,nonspecific,cusbla012_4_30_21.adicht,150,20.0
cus,nonspecific,cusbla013_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla013_4_30_21.adicht,20,8.0
cus,nonspecific,cusbla013_4_30_21.adicht,30,14.0
cus,nonspecific,cusbla013_4_30_21.adicht,40,22.0
cus,nonspecific,cusbla013_4_30_21.adicht,50,28.0
cus,nonspecific,cusbla013_4_30_21.adicht,60,36.0
cus,nonspecific,cusbla013_4_30_21.adicht,70,40.0
cus,nonspecific,cusbla013_4_30_21.adicht,80,46.0
cus,nonspecific,cusbla013_4_30_21.adicht,90,50.0
cus,nonspecific,cusbla013_4_30_21.adicht,100,56.0
cus,nonspecific,cusbla013_4_30_21.adicht,110,58.0
cus,nonspecific,cusbla013_4_30_21.adicht,120,62.0
cus,nonspecific,cusbla013_4_30_21.adicht,130,66.0
cus,nonspecific,cusbla013_4_30_21.adicht,140,68.0
cus,nonspecific,cusbla013_4_30_21.adicht,150,72.0
cus,nonspecific,cusbla014_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla014_4_30_21.adicht,20,8.0
cus,nonspecific,cusbla014_4_30_21.adicht,30,14.0
cus,nonspecific,cusbla014_4_30_21.adicht,40,20.0
cus,nonspecific,cusbla014_4_30_21.adicht,50,24.0
cus,nonspecific,cusbla014_4_30_21.adicht,60,28.0
cus,nonspecific,cusbla014_4_30_21.adicht,70,34.0
cus,nonspecific,cusbla014_4_30_21.adicht,80,40.0
cus,nonspecific,cusbla014_4_30_21.adicht,90,46.0
cus,nonspecific,cusbla014_4_30_21.adicht,100,50.0
cus,nonspecific,cusbla014_4_30_21.adicht,110,54.0
cus,nonspecific,cusbla014_4_30_21.adicht,120,60.0
cus,nonspecific,cusbla014_4_30_21.adicht,130,64.0
cus,nonspecific,cusbla014_4_30_21.adicht,140,68.0
cus,nonspecific,cusbla014_4_30_21.adicht,150,70.0
cus,nonspecific,cusbla015_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla015_4_30_21.adicht,20,2.0
cus,nonspecific,cusbla015_4_30_21.adicht,30,10.0
cus,nonspecific,cusbla015_4_30_21.adicht,40,22.0
cus,nonspecific,cusbla015_4_30_21.adicht,50,30.0
cus,nonspecific,cusbla015_4_30_21.adicht,60,38.0
cus,nonspecific,cusbla015_4_30_21.adicht,70,44.0
cus,nonspecific,cusbla015_4_30_21.adicht,80,48.0
cus,nonspecific,cusbla015_4_30_21.adicht,90,54.0
cus,nonspecific,cusbla015_4_30_21.adicht,100,58.0
cus,nonspecific,cusbla015_4_30_21.adicht,110,62.0
cus,nonspecific,cusbla015_4_30_21.adicht,120,66.0
cus,nonspecific,cusbla015_4_30_21.adicht,130,70.0
cus,nonspecific,cusbla015_4_30_21.adicht,140,72.0
cus,nonspecific,cusbla015_4_30_21.adicht,150,28.0
cus,nonspecific,cusbla016_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla016_4_30_21.adicht,20,4.0
cus,nonspecific,cusbla016_4_30_21.adicht,30,12.0
cus,nonspecific,cusbla016_4_30_21.adicht,40,20.0
cus,nonspecific,cusbla016_4_30_21.adicht,50,22.0
cus,nonspecific,cusbla016_4_30_21.adicht,60,26.0
cus,nonspecific,cusbla016_4_30_21.adicht,70,28.0
cus,nonspecific,cusbla016_4_30_21.adicht,80,34.0
cus,nonspecific,cusbla016_4_30_21.adicht,90,38.0
cus,nonspecific,cusbla016_4_30_21.adicht,100,40.0
cus,nonspecific,cusbla016_4_30_21.adicht,110,42.0
cus,nonspecific,cusbla016_4_30_21.adicht,120,44.0
cus,nonspecific,cusbla016_4_30_21.adicht,130,46.0
cus,nonspecific,cusbla016_4_30_21.adicht,140,48.0
cus,nonspecific,cusbla016_4_30_21.adicht,150,50.0
cus,nonspecific,cusbla017_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla017_4_30_21.adicht,20,0.0
cus,nonspecific,cusbla017_4_30_21.adicht,30,0.0
cus,nonspecific,cusbla017_4_30_21.adicht,40,0.0
cus,nonspecific,cusbla017_4_30_21.adicht,50,0.0
cus,nonspecific,cusbla017_4_30_21.adicht,60,1.9996000799840032
cus,nonspecific,cusbla017_4_30_21.adicht,70,1.9996000799840032
cus,nonspecific,cusbla017_4_30_21.adicht,80,3.9992001599680065
cus,nonspecific,cusbla017_4_30_21.adicht,90,5.9988002399520095
cus,nonspecific,cusbla017_4_30_21.adicht,100,7.998400319936013
cus,nonspecific,cusbla017_4_30_21.adicht,110,9.998000399920016
cus,nonspecific,cusbla017_4_30_21.adicht,120,11.997600479904019
cus,nonspecific,cusbla017_4_30_21.adicht,130,13.997200559888023
cus,nonspecific,cusbla017_4_30_21.adicht,140,13.997200559888023
cus,nonspecific,cusbla017_4_30_21.adicht,150,15.996800639872026
cus,nonspecific,cusbla018_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla018_4_30_21.adicht,20,0.0
cus,nonspecific,cusbla018_4_30_21.adicht,30,0.0
cus,nonspecific,cusbla018_4_30_21.adicht,40,0.0
cus,nonspecific,cusbla018_4_30_21.adicht,50,4.0
cus,nonspecific,cusbla018_4_30_21.adicht,60,6.0
cus,nonspecific,cusbla018_4_30_21.adicht,70,10.0
cus,nonspecific,cusbla018_4_30_21.adicht,80,12.0
cus,nonspecific,cusbla018_4_30_21.adicht,90,16.0
cus,nonspecific,cusbla018_4_30_21.adicht,100,18.0
cus,nonspecific,cusbla018_4_30_21.adicht,110,20.0
cus,nonspecific,cusbla018_4_30_21.adicht,120,24.0
cus,nonspecific,cusbla018_4_30_21.adicht,130,26.0
cus,nonspecific,cusbla018_4_30_21.adicht,140,30.0
cus,nonspecific,cusbla018_4_30_21.adicht,150,32.0
cus,nonspecific,cusbla019_4_30_21.adicht,10,0.0
cus,nonspecific,cusbla019_4_30_21.adicht,20,0.0
cus,nonspecific,cusbla019_4_30_21.adicht,30,0.0
cus,nonspecific,cusbla019_4_30_21.adicht,40,2.0
cus,nonspecific,cusbla019_4_30_21.adicht,50,4.0
cus,nonspecific,cusbla019_4_30_21.adicht,60,6.0
cus,nonspecific,cusbla019_4_30_21.adicht,70,8.0
cus,nonspecific,cusbla019_4_30_21.adicht,80,12.0
cus,nonspecific,cusbla019_4_30_21.adicht,90,14.0
cus,nonspecific,cusbla019_4_30_21.adicht,100,16.0
cus,nonspecific,cusbla019_4_30_21.adicht,110,18.0
cus,nonspecific,cusbla019_4_30_21.adicht,120,20.0
cus,nonspecific,cusbla019_4_30_21.adicht,130,22.0
cus,nonspecific,cusbla019_4_30_21.adicht,140,24.0
cus,nonspecific,cusbla019_4_30_21.adicht,150,24.0
cus,nonspecific,cusbla020_5_7_21.adicht,10,0.0
cus,nonspecific,cusbla020_5_7_21.adicht,20,16.0
cus,nonspecific,cusbla020_5_7_21.adicht,30,28.0
cus,nonspecific,cusbla020_5_7_21.adicht,40,34.0
cus,nonspecific,cusbla020_5_7_21.adicht,50,44.0
cus,nonspecific,cusbla020_5_7_21.adicht,60,50.0
cus,nonspecific,cusbla020_5_7_21.adicht,70,56.0
cus,nonspecific,cusbla020_5_7_21.adicht,80,64.0
cus,nonspecific,cusbla020_5_7_21.adicht,90,68.0
cus,nonspecific,cusbla020_5_7_21.adicht,100,74.0
cus,nonspecific,cusbla020_5_7_21.adicht,110,78.0
cus,nonspecific,cusbla020_5_7_21.adicht,120,84.0
cus,nonspecific,cusbla020_5_7_21.adicht,130,88.0
cus,nonspecific,cusbla020_5_7_21.adicht,140,92.0
cus,nonspecific,cusbla020_5_7_21.adicht,150,94.0
cus,nonspecific,cusbla021_5_7_21.adicht,10,0.0
cus,nonspecific,cusbla021_5_7_21.adicht,20,2.0
cus,nonspecific,cusbla021_5_7_21.adicht,30,6.0
cus,nonspecific,cusbla021_5_7_21.adicht,40,8.0
cus,nonspecific,cusbla021_5_7_21.adicht,50,12.0
cus,nonspecific,cusbla021_5_7_21.adicht,60,14.0
cus,nonspecific,cusbla021_5_7_21.adicht,70,20.0
cus,nonspecific,cusbla021_5_7_21.adicht,80,20.0
cus,nonspecific,cusbla021_5_7_21.adicht,90,26.0
cus,nonspecific,cusbla021_5_7_21.adicht,100,26.0
cus,nonspecific,cusbla021_5_7_21.adicht,110,30.0
cus,nonspecific,cusbla021_5_7_21.adicht,120,28.0
cus,nonspecific,cusbla021_5_7_21.adicht,130,30.0
cus,nonspecific,cusbla021_5_7_21.adicht,140,30.0
cus,nonspecific,cusbla021_5_7_21.adicht,150,28.0
cus,nonspecific,cusbla022_5_7_21.adicht,10,0.0
cus,nonspecific,cusbla022_5_7_21.adicht,20,0.0
cus,nonspecific,cusbla022_5_7_21.adicht,30,0.0
cus,nonspecific,cusbla022_5_7_21.adicht,40,0.0
cus,nonspecific,cusbla022_5_7_21.adicht,50,0.0
cus,nonspecific,cusbla022_5_7_21.adicht,60,0.0
cus,nonspecific,cusbla022_5_7_21.adicht,70,2.0
cus,nonspecific,cusbla022_5_7_21.adicht,80,14.0
cus,nonspecific,cusbla022_5_7_21.adicht,90,20.0
cus,nonspecific,cusbla022_5_7_21.adicht,100,24.0
cus,nonspecific,cusbla022_5_7_21.adicht,110,26.0
cus,nonspecific,cusbla022_5_7_21.adicht,120,30.0
cus,nonspecific,cusbla022_5_7_21.adicht,130,32.0
cus,nonspecific,cusbla022_5_7_21.adicht,140,32.0
cus,nonspecific,cusbla022_5_7_21.adicht,150,34.0
cus,nonspecific,cusbla023_5_7_21.adicht,10,0.0
cus,nonspecific,cusbla023_5_7_21.adicht,20,0.0
cus,nonspecific,cusbla023_5_7_21.adicht,30,0.0
cus,nonspecific,cusbla023_5_7_21.adicht,40,0.0
cus,nonspecific,cusbla023_5_7_21.adicht,50,0.0
cus,nonspecific,cusbla023_5_7_21.adicht,60,2.0
cus,nonspecific,cusbla023_5_7_21.adicht,70,10.0
cus,nonspecific,cusbla023_5_7_21.adicht,80,16.0
cus,nonspecific,cusbla023_5_7_21.adicht,90,22.0
cus,nonspecific,cusbla023_5_7_21.adicht,100,26.0
cus,nonspecific,cusbla023_5_7_21.adicht,110,28.0
cus,nonspecific,cusbla023_5_7_21.adicht,120,32.0
cus,nonspecific,cusbla023_5_7_21.adicht,130,34.0
cus,nonspecific,cusbla023_5_7_21.adicht,140,36.0
cus,nonspecific,cusbla023_5_7_21.adicht,150,38.0
cus,nonspecific,cusbla024_5_7_21.adicht,10,0.0
