cell_id,projection,treatment,ahp,ap_peak,fr_at_20_percent_input,fr_at_40_percent_input,fr_at_60_percent_input,fr_at_max_input,half_width,i_amp_at_half_max_fr,input_resistance,io_slope,max_firing_rate,peak_to_trough,resting_membrane_potential,rheobase,rise_time,threshold
controlbla021_5_27_21.adicht,nonspecific,control,17.444159349455546,44.64478383403137,0.0,8.0,18.0,36.0,12.700000000000001,80.0,534.375,0.3799999999999999,36.0,19.900000000000002,-67.5,50.0,10.0,-26.352715650544766
controlblapv001_4_26_21.adicht,nonspecific,control,21.160657098428807,84.27522993228988,0.0,24.0,34.0,50.0,6.5,60.0,345.3125,0.3915151515151515,50.0,12.8,-62.0,40.0,6.2,-34.29697413231441
controlblapv002_4_26_21.adicht,nonspecific,control,24.48365282897579,87.32406773674397,0.0,26.0,54.0,8.0,5.9,130.0,526.5625,0.9200000000000002,66.0,11.100000000000001,-65.0,50.0,6.0,-31.584213104417163
controlblapv003_4_26_21.adicht,nonspecific,control,24.392275082643557,76.06270065242498,0.0,22.0,38.0,60.0,7.9,70.0,433.59375,0.5357575757575757,60.0,13.600000000000001,-66.0,40.0,6.9,-32.091583882005395
controlpvbla019_5_27_21.adicht,nonspecific,control,,,,,,,,,509.375,,,,-65.4,,,
cusbla001_4_27_21.adicht,nonspecific,cus,36.94910462124213,87.95770485512773,22.0,48.0,62.0,12.0,7.2,40.0,1531.25,0.8142857142857143,66.0,12.9,-65.0,20.0,6.6000000000000005,-30.772396169860013
cusbla002_4_27_21.adicht,nonspecific,cus,32.45997430110345,90.28243569466426,18.0,38.0,46.0,14.0,7.2,40.0,1368.75,0.5119047619047619,50.0,12.600000000000001,-59.5,20.0,6.800000000000001,-31.907435694664265
cusbla003_4_27_21.adicht,nonspecific,cus,31.33214153137194,73.14209940474638,16.0,10.0,8.0,6.0,9.600000000000001,40.0,,,26.0,14.9,-53.5,10.0,7.800000000000001,-26.485849404746332
cusbla004_4_27_21.adicht,nonspecific,cus,46.536384591897715,71.58862080474567,34.0,60.0,74.0,10.0,7.4,40.0,,0.7733333333333334,80.0,13.5,-52.0,10.0,7.0,-31.557124617170558
cusbla005_4_27_21.adicht,nonspecific,cus,18.042745029938047,92.75566900296286,0.0,0.0,0.0,16.0,6.0,110.0,166.40625,0.19428571428571426,16.0,9.9,-60.0,100.0,5.0,-30.022671788419395
